
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000859                       # Number of seconds simulated (Second)
simTicks                                    859065000                       # Number of ticks simulated (Tick)
finalTick                                   859065000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      1.12                       # Real time elapsed on the host (Second)
hostTickRate                                768389908                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     682004                       # Number of bytes of host memory used (Byte)
simInsts                                       103824                       # Number of instructions simulated (Count)
simOps                                         104925                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    92858                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      93842                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                           859066                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          339828                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       63                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         338720                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     93                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               234965                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined              3314                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  24                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              555417                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.609848                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.153786                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    395985     71.30%     71.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     66648     12.00%     83.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     41784      7.52%     90.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     16926      3.05%     93.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     33269      5.99%     99.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                       388      0.07%     99.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                       265      0.05%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                        96      0.02%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                        56      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                555417                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                      43     27.04%     27.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     27.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     27.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     27.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     27.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     27.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     27.04% # attempts to use FU when none available (Count)
