
---------- Begin Simulation Statistics ----------
simSeconds                                   0.114124                       # Number of seconds simulated (Second)
simTicks                                 114124324000                       # Number of ticks simulated (Tick)
finalTick                                114124324000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    556.34                       # Real time elapsed on the host (Second)
hostTickRate                                205134033                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     673316                       # Number of bytes of host memory used (Byte)
simInsts                                    168805601                       # Number of instructions simulated (Count)
simOps                                      168806702                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   303421                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     303423                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        114124325                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       341607988                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    24398                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      261992340                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  23778                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            172825683                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         101689542                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               24359                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           114102120                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.296122                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.865638                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  31495104     27.60%     27.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   9844672      8.63%     36.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  20569875     18.03%     54.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  20027650     17.55%     71.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  15290718     13.40%     85.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  11694460     10.25%     95.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   5018884      4.40%     99.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    109564      0.10%     99.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     51193      0.04%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             114102120                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  472072     12.67%     12.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     12.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     12.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     12.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     12.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     12.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     12.67% # attempts to use FU when none available (Count)
