
---------- Begin Simulation Statistics ----------
simSeconds                                   0.018572                       # Number of seconds simulated (Second)
simTicks                                  18572465000                       # Number of ticks simulated (Tick)
finalTick                                 18572465000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     42.63                       # Real time elapsed on the host (Second)
hostTickRate                                435644966                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     674324                       # Number of bytes of host memory used (Byte)
simInsts                                     11630582                       # Number of instructions simulated (Count)
simOps                                       11631686                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   272812                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     272838                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         18572466                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        11675084                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       72                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       11651783                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    334                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                43469                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             44782                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  33                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            18556758                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.627900                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.103774                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  11919857     64.23%     64.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   4008808     21.60%     85.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1227396      6.61%     92.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    883423      4.76%     97.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    259708      1.40%     98.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    109434      0.59%     99.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     90245      0.49%     99.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     52654      0.28%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      5233      0.03%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              18556758                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     118     12.42%     12.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     12.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     12.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     12.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     12.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     12.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     12.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     12.42% # attempts to use FU when none available (Count)
